seed,eval_version,model,label,task_key,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,model_value_t0,model_value_t1,true_ate,true_ate_normalized,ate_hat,ate_error,ate_abs_err,ate_squared_err,error,abs_error,squared_error,fixed_policy_value_abs_err,policy_selected_arm,oracle_best_arm,policy_value_hat,policy_value_true,oracle_policy_value,policy_value_abs_err,policy_regret,pehe,pehe_supported
42,2,scm_causal,SCM-Causal,694143||Control vs. Treatment||completion,694143,Control vs. Treatment,completion,Control,855,404,451,0.7326732673267327,0.6917960088691796,0.7395104480765716,0.768506716008772,-0.04087725845755308,-0.04087725845755308,0.028996267932200337,0.06987352638975342,0.06987352638975342,0.004882309690139567,0.06987352638975342,0.06987352638975342,0.004882309690139567,0.041773943944715675,1,0,0.768506716008772,0.6917960088691796,0.7326732673267327,0.07671070713959238,0.04087725845755308,,0
42,2,scm_causal,SCM-Causal,694165||Control vs. Treatment||completion,694165,Control vs. Treatment,completion,Control,505,259,246,0.8185328185328186,0.8495934959349594,0.7975498917079208,0.8512715858988242,0.0310606774021408,0.0310606774021408,0.053721694190903446,0.022661016788762645,0.022661016788762645,0.0005135216819005824,0.022661016788762645,0.022661016788762645,0.0005135216819005824,0.011330508394381322,1,1,0.8512715858988242,0.8495934959349594,0.8495934959349594,0.0016780899638648705,0.0,,0
42,2,scm_causal,SCM-Causal,694197||Control vs. Treatment||completion,694197,Control vs. Treatment,completion,Control,1831,931,900,0.6079484425349087,0.6366666666666667,0.6379637871851106,0.6930370987080148,0.028718224131758063,0.028718224131758063,0.05507331152290418,0.026355087391146115,0.026355087391146115,0.0006945906313949489,0.026355087391146115,0.026355087391146115,0.0006945906313949489,0.043192888345775005,1,1,0.6930370987080148,0.6366666666666667,0.6366666666666667,0.05637043204134806,0.0,,0
42,2,scm_causal,SCM-Causal,694202||Control vs. Treatment||completion,694202,Control vs. Treatment,completion,Control,166,74,92,0.9054054054054054,0.8369565217391305,0.8605749291109751,0.863466745399567,-0.06844888366627488,-0.06844888366627488,0.0028918162885919196,0.0713406999548668,0.0713406999548668,0.005089495470050332,0.0713406999548668,0.0713406999548668,0.005089495470050332,0.0356703499774334,1,0,0.863466745399567,0.8369565217391305,0.9054054054054054,0.026510223660436538,0.06844888366627488,,0
42,2,scm_causal,SCM-Causal,694203||Control vs. Treatment||completion,694203,Control vs. Treatment,completion,Control,508,242,266,0.8099173553719008,0.7631578947368421,0.7854975903128075,0.7373938372754675,-0.04675946063505865,-0.04675946063505865,-0.04810375303734005,-0.0013442924022813996,0.0013442924022813996,1.8071220628314963e-06,-0.0013442924022813996,0.0013442924022813996,1.8071220628314963e-06,0.025091911260233968,0,0,0.7854975903128075,0.8099173553719008,0.8099173553719008,0.024419765059093268,0.0,,0
42,2,scm_causal,SCM-Causal,694244||Control vs. Treatment||completion,694244,Control vs. Treatment,completion,Control,26,15,11,0.7333333333333333,0.5454545454545454,0.6976556044358474,0.6452611776498648,-0.18787878787878787,-0.18787878787878787,-0.052394426785982606,0.13548436109280526,0.13548436109280526,0.018356012100725645,0.13548436109280526,0.13548436109280526,0.018356012100725645,0.06774218054640263,0,0,0.6976556044358474,0.7333333333333333,0.7333333333333333,0.03567772889748588,0.0,,0
42,2,scm_causal,SCM-Causal,714180||Control vs. Treatment||completion,714180,Control vs. Treatment,completion,Control,157,76,81,0.618421052631579,0.7037037037037037,0.7059527840583947,0.7248078850424213,0.08528265107212474,0.08528265107212474,0.01885510098402665,-0.06642755008809809,0.06642755008809809,0.00441261941070678,-0.06642755008809809,0.06642755008809809,0.00441261941070678,0.05431795638276665,1,1,0.7248078850424213,0.7037037037037037,0.7037037037037037,0.02110418133871761,0.0,,0
42,2,scm_causal,SCM-Causal,754873||Control vs. Treatment||completion,754873,Control vs. Treatment,completion,Control,472,228,244,0.6798245614035088,0.6352459016393442,0.6871216337559587,0.5915884890798795,-0.04457865976416453,-0.04457865976416453,-0.0955331446760792,-0.05095448491191468,0.05095448491191468,0.0025963595326385404,-0.05095448491191468,0.05095448491191468,0.0025963595326385404,0.02547724245595734,0,0,0.6871216337559587,0.6798245614035088,0.6798245614035088,0.007297072352449918,0.0,,0
42,2,scm_causal,SCM-Causal,796926||Control vs. Treatment||completion,796926,Control vs. Treatment,completion,Control,955,492,463,0.7947154471544715,0.8056155507559395,0.8015175065445026,0.8157289834546794,0.01090010360146798,0.01090010360146798,0.014211476910176768,0.003311373308708787,0.003311373308708787,1.096519318962898e-05,0.003311373308708787,0.003311373308708787,1.096519318962898e-05,0.008457746044385483,1,1,0.8157289834546794,0.8056155507559395,0.8056155507559395,0.010113432698739877,0.0,,0
42,2,scm_causal,SCM-Causal,800112||Control vs. Treatment||completion,800112,Control vs. Treatment,completion,Control,557,269,288,0.6468401486988847,0.5902777777777778,0.6409210807759201,0.5127897142721892,-0.05656237092110694,-0.05656237092110694,-0.12813136650373091,-0.07156899558262397,0.07156899558262397,0.00512212112870565,-0.07156899558262397,0.07156899558262397,0.00512212112870565,0.04170356571427658,0,0,0.6409210807759201,0.6468401486988847,0.6468401486988847,0.005919067922964594,0.0,,0
