model,dependent_measure,mae,rmse
scm_causal,completion,0.042672091453529466,0.056127622949307204
rcgan,completion,0.04858190657283053,0.062016495403843006
vae,completion,0.05132546571148383,0.06611531475404633
diffusion,completion,0.05072867873494108,0.07024944176903729
crn,completion,0.053563373338849855,0.07142926898722496
timegan,completion,0.058713095381082075,0.07579347218131034
