experiment_id,has_condition_metadata,has_raw_folder,n_assignment_logs,n_problem_logs,n_student_logs
694143,True,True,1,0,855
694165,True,True,1,0,505
694197,True,True,1,0,1830
694202,True,True,1,0,166
694203,True,True,1,0,508
694244,True,True,1,0,26
714180,True,True,1,0,157
754873,True,True,1,0,472
796926,True,True,1,0,955
800112,True,True,1,0,557
803956,True,True,1,0,954
