model,dependent_measure,mae,rmse
scm_causal,completion,0.021523104788749952,0.025795297268728052
rcgan,completion,0.023175041725494023,0.028243739318950363
vae,completion,0.02014246750146923,0.02493082864329846
diffusion,completion,0.029016324524677214,0.0357909136920177
crn,completion,0.022164826925230533,0.026348728082991175
timegan,completion,0.026607363404257237,0.03146483755350171
