seed,eval_version,model,label,task_key,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,model_value_t0,model_value_t1,true_ate,true_ate_normalized,ate_hat,ate_error,ate_abs_err,ate_squared_err,error,abs_error,squared_error,fixed_policy_value_abs_err,policy_selected_arm,oracle_best_arm,policy_value_hat,policy_value_true,oracle_policy_value,policy_value_abs_err,policy_regret,pehe,pehe_supported
42,2,scm_causal,SCM-Causal,226210||Control vs. Experiment||completion,226210,Control vs. Experiment,completion,Control,1185,607,578,0.6803953871499177,0.6349480968858131,0.6934119115901899,0.6371713887790085,-0.045447290264104545,-0.045447290264104545,-0.056240522811181415,-0.01079323254707687,0.01079323254707687,0.00011649386881527946,-0.01079323254707687,0.01079323254707687,0.00011649386881527946,0.007619908166733802,0,0,0.6934119115901899,0.6803953871499177,0.6803953871499177,0.013016524440272237,0.0,,0
42,2,scm_causal,SCM-Causal,237447||Control vs. Experiment||completion,237447,Control vs. Experiment,completion,Control,692,329,363,0.9848024316109423,0.9586776859504132,0.9574988921942739,0.9525134136222001,-0.026124745660529025,-0.026124745660529025,-0.004985478572073765,0.02113926708845526,0.02113926708845526,0.0004468686130370477,0.02113926708845526,0.02113926708845526,0.0004468686130370477,0.01673390587244078,0,0,0.9574988921942739,0.9848024316109423,0.9848024316109423,0.02730353941666841,0.0,,0
42,2,scm_causal,SCM-Causal,241501||Control vs. Experiment||completion,241501,Control vs. Experiment,completion,Control,381,188,193,0.8936170212765957,0.8497409326424871,0.8992090100065617,0.8905163862573819,-0.043876088634108634,-0.043876088634108634,-0.008692623749179784,0.03518346488492885,0.03518346488492885,0.0012378762013090215,0.03518346488492885,0.03518346488492885,0.0012378762013090215,0.02318372117243045,0,0,0.8992090100065617,0.8936170212765957,0.8936170212765957,0.005591988729966024,0.0,,0
42,2,scm_causal,SCM-Causal,241622||Control vs. Experiment||completion,241622,Control vs. Experiment,completion,Control,627,338,289,0.8816568047337278,0.8373702422145328,0.8503522127629087,0.8182713753488836,-0.04428656251919494,-0.04428656251919494,-0.03208083741402512,0.012205725105169818,0.012205725105169818,0.00014897972534297276,0.012205725105169818,0.012205725105169818,0.00014897972534297276,0.02520172941823412,0,0,0.8503522127629087,0.8816568047337278,0.8816568047337278,0.03130459197081903,0.0,,0
42,2,scm_causal,SCM-Causal,243393||Control vs. Experiment||completion,243393,Control vs. Experiment,completion,Control,1797,910,887,0.7329670329670329,0.7170236753100339,0.7154615738687743,0.7280767289014677,-0.015943357656999058,-0.015943357656999058,0.012615155032693393,0.02855851268969245,0.02855851268969245,0.0008155886470473247,0.02855851268969245,0.02855851268969245,0.0008155886470473247,0.014279256344846225,1,0,0.7280767289014677,0.7170236753100339,0.7329670329670329,0.011053053591433826,0.015943357656999058,,0
42,2,scm_causal,SCM-Causal,246482||Control vs. Experiment||completion,246482,Control vs. Experiment,completion,Control,457,225,232,0.7333333333333333,0.7413793103448276,0.6917444141479759,0.7078801996076655,0.008045977011494343,0.008045977011494343,0.016135785459689522,0.00808980844819518,0.00808980844819518,6.54450007284901e-05,0.00808980844819518,0.00808980844819518,6.54450007284901e-05,0.03754401496125975,1,1,0.7078801996076655,0.7413793103448276,0.7413793103448276,0.03349911073716216,0.0,,0
42,2,scm_causal,SCM-Causal,246627||Control vs. Experiment||completion,246627,Control vs. Experiment,completion,Control,514,279,235,0.7240143369175627,0.6936170212765957,0.698568381224161,0.6823586786767388,-0.030397315640966927,-0.030397315640966927,-0.016209702547422156,0.01418761309354477,0.01418761309354477,0.00020128836529212304,0.01418761309354477,0.01418761309354477,0.00020128836529212304,0.018352149146629304,0,0,0.698568381224161,0.7240143369175627,0.7240143369175627,0.02544595569340169,0.0,,0
42,2,scm_causal,SCM-Causal,246647||Control vs. Experiment||completion,246647,Control vs. Experiment,completion,Control,538,264,274,0.8446969696969697,0.8467153284671532,0.8299727883037581,0.8356353305972641,0.002018358770183526,0.002018358770183526,0.005662542293506045,0.0036441835233225195,0.0036441835233225195,1.3280073551655331e-05,0.0036441835233225195,0.0036441835233225195,1.3280073551655331e-05,0.012902089631550373,1,1,0.8356353305972641,0.8467153284671532,0.8467153284671532,0.011079997869889113,0.0,,0
42,2,scm_causal,SCM-Causal,250476||Control vs. Experiment||completion,250476,Control vs. Experiment,completion,Control,402,193,209,0.8911917098445595,0.9330143540669856,0.9189970101883163,0.9259912291569496,0.0418226442224261,0.0418226442224261,0.006994218968633392,-0.034828425253792705,0.034828425253792705,0.0012130192056590255,-0.034828425253792705,0.034828425253792705,0.0012130192056590255,0.017414212626896353,1,1,0.9259912291569496,0.9330143540669856,0.9330143540669856,0.007023124910035983,0.0,,0
42,2,scm_causal,SCM-Causal,255116||Control vs. Experiment||completion,255116,Control vs. Experiment,completion,Control,534,258,276,0.8217054263565892,0.7971014492753623,0.8173949280928137,0.8251312484455465,-0.024603977081226858,-0.024603977081226858,0.007736320352732862,0.03234029743395972,0.03234029743395972,0.0010458948381169815,0.03234029743395972,0.03234029743395972,0.0010458948381169815,0.01617014871697986,1,0,0.8251312484455465,0.7971014492753623,0.8217054263565892,0.028029799170184222,0.024603977081226858,,0
