model,label,n_estimates,ate_abs_err,ate_rmse,ate_bias,policy_value_abs_err,policy_regret,fixed_policy_value_abs_err,pehe,mae,rmse,bias,median_abs_error,sign_accuracy,pearson,spearman
scm_causal,SCM-Causal,66,0.021523104788749952,0.025795297268728052,0.00738002892805498,0.01889171378411602,0.0055804425279978006,0.01796193112478319,,0.021523104788749952,0.025795297268728052,0.00738002892805498,0.019491296122898127,0.7121212121212122,0.3552218440582129,0.35220758286460463
rcgan,RCGAN,66,0.023175041725494023,0.028243739318950363,0.005502386217818875,0.02931236680374999,0.007871720933283914,0.029071497006734934,,0.023175041725494023,0.028243739318950363,0.005502386217818875,0.021469643867522925,0.6818181818181818,0.15030069231423035,0.12730621121160562
vae,VAE,66,0.02014246750146923,0.02493082864329846,0.007226568922254341,0.05868624037907252,0.004232677709211727,0.05960119980078266,,0.02014246750146923,0.02493082864329846,0.007226568922254341,0.019217434483885354,0.7727272727272727,0.16079151684920348,0.1410961503876535
diffusion,Diffusion,66,0.029016324524677214,0.0357909136920177,-0.02020068387610292,0.19947124083870146,0.004732326604582549,0.21008377410687828,,0.029016324524677214,0.0357909136920177,-0.02020068387610292,0.022731727732415496,0.7575757575757576,0.04948867944893752,0.08242622734774072
crn,CRN,66,0.022164826925230537,0.026348728082991175,0.011241808136941967,0.020082893091390774,0.008471863684338261,0.01914893506822146,,0.022164826925230537,0.026348728082991175,0.011241808136941967,0.0220857374779182,0.6060606060606061,0.28424366125989015,0.2739810188113876
timegan,TimeGAN,66,0.026607363404257237,0.03146483755350171,0.01785108733806918,0.06682411698906102,0.011607678214282019,0.06732666746487116,,0.026607363404257237,0.03146483755350171,0.01785108733806918,0.024201370555141488,0.48484848484848486,0.017691463126866248,0.06826019892143699
