dataset,dataset_label,dataset_short,n_tasks,n_students,median_task_n,min_task_n,median_arm0,median_arm1,mean_outcome,mean_true_ate,sd_true_ate,mean_abs_true_ate,share_positive_ate,mean_retention,n_features,n_excluded_columns,n_post_treatment_dropped,uses_true_ate_in_training,uses_arm_means_in_training,uses_condition_as_feature,source
assistments_abtest_study2,ASSISTments OSF Study2 A/B tests,Study2,11,6986,508.0,26,259.0,266.0,0.7229564263850741,-0.028671117636346485,0.07060820575197692,0.05702778240134492,0.36363636363636365,0.5541498359865142,23,12,15,False,False,False,https://osf.io/j6esa/
assistments_las2016,LAS2016 22 randomized experiments,LAS2016,22,14947,518.5,136,261.0,257.0,0.8269631592774309,-0.015648431663452787,0.024689386859089706,0.024113787081876222,0.22727272727272727,0.5264761138752272,22,12,5,False,False,False,https://sites.google.com/site/las2016data/data/thison
assistments_rct88,ASSISTments expanded RCT release,RCT88/89,86,76216,631.0,122,308.0,316.5,0.5468440377704582,0.014358959600921484,0.07599608012108884,0.05596666428804145,0.5465116279069767,0.5252102895207633,30,12,2,False,False,False,https://osf.io/m2jqe/
