dataset,dataset_short,model,label,n_tasks,taskavg_ate_abs_err,taskavg_ate_rmse,taskavg_ate_bias,taskavg_policy_value_abs_err,taskavg_policy_regret,taskavg_sign_accuracy,taskavg_pearson,selected_treatment_rate,oracle_treatment_rate
assistments_abtest_study2,Study2,crn,CRN,11,0.053549153567135674,0.07057561019441468,0.028625166261103653,0.039205790889455444,0.02115039996009354,0.6363636363636364,0.4768273034308995,0.4848484848484848,0.36363636363636365
assistments_abtest_study2,Study2,diffusion,Diffusion,11,0.04712553859741715,0.0679496380218282,-0.020461064895284067,0.20733486016371216,0.014178332382499216,0.6363636363636364,0.3282619541312932,0.0,0.36363636363636365
assistments_abtest_study2,Study2,rcgan,RCGAN,11,0.0485819065728305,0.06168330218084085,0.022102403252774804,0.06047796516981971,0.007555029467689655,0.9090909090909091,0.8404341514348977,0.33333333333333326,0.36363636363636365
assistments_abtest_study2,Study2,scm_causal,SCM-Causal,11,0.035160866752010994,0.05008346046581337,0.007601423856877732,0.031858939533271166,0.011703446659585098,1.0,0.6965505162994513,0.3939393939393939,0.36363636363636365
assistments_abtest_study2,Study2,timegan,TimeGAN,11,0.05845013338096474,0.07560718860275771,0.03444305732702053,0.056491564407556955,0.035765687256074874,0.36363636363636365,0.02193324258091069,0.8484848484848484,0.36363636363636365
assistments_abtest_study2,Study2,vae,VAE,11,0.05132546571148378,0.06598186723905933,0.013168584903375507,0.055130480927010846,0.014178332382499216,0.6363636363636364,0.6894497068461691,0.0,0.36363636363636365
assistments_las2016,LAS2016,crn,CRN,22,0.02098441351231833,0.024578507893132817,0.011241808136941945,0.020082893091390722,0.00847186368433824,0.5454545454545454,0.43222691189844364,0.3181818181818181,0.22727272727272727
assistments_las2016,LAS2016,diffusion,Diffusion,22,0.0255318136778345,0.031881595040506375,-0.020200683876102913,0.19947124083870146,0.004732326604582539,0.7727272727272727,0.10807346331760802,0.01515151515151515,0.22727272727272727
assistments_las2016,LAS2016,rcgan,RCGAN,22,0.02091684316194204,0.02503430696915623,0.005502386217818855,0.029312366803749944,0.007871720933283897,0.7727272727272727,0.22267978697796392,0.303030303030303,0.22727272727272727
assistments_las2016,LAS2016,scm_causal,SCM-Causal,22,0.01849992906097157,0.02202889992828789,0.007380028928054955,0.018891713784115978,0.005580442527997786,0.7727272727272727,0.5103375529856412,0.36363636363636365,0.22727272727272727
assistments_las2016,LAS2016,timegan,TimeGAN,22,0.02541099687918593,0.030083889334417583,0.017851087338069147,0.06682411698906097,0.011607678214281993,0.36363636363636365,0.048624288688149296,0.49999999999999994,0.22727272727272727
assistments_las2016,LAS2016,vae,VAE,22,0.019805672864022336,0.024451205283450333,0.007226568922254358,0.05868624037907248,0.004232677709211718,0.7727272727272727,0.3541252329003367,0.0,0.22727272727272727
assistments_rct88,RCT88/89,crn,CRN,86,0.045334633204514065,0.06010184265918818,-0.0036512755625469247,0.03190123965006861,0.013963930815704503,0.6976744186046512,0.7288809716884543,0.5775193798449612,0.5465116279069767
assistments_rct88,RCT88/89,diffusion,Diffusion,86,0.05529073745603559,0.07560943724869708,-0.013305666371240333,0.17707404615592381,0.016602800469001998,0.5116279069767442,0.41453306281770974,0.6589147286821705,0.5465116279069767
assistments_rct88,RCT88/89,rcgan,RCGAN,86,0.04042566641793587,0.049643393607224987,0.02758348379234775,0.14113557382453265,0.011621436454630396,0.6744186046511628,0.8375961052334109,0.7596899224806201,0.5465116279069767
assistments_rct88,RCT88/89,scm_causal,SCM-Causal,86,0.027869209519630542,0.0363054801053539,-0.007256122528406501,0.03247324510472595,0.008330038287334756,0.8372093023255814,0.8888615307939395,0.5348837209302325,0.5465116279069767
assistments_rct88,RCT88/89,timegan,TimeGAN,86,0.05535491545975643,0.07571543548427043,-0.011944911793331686,0.09646910773975206,0.02535507447286696,0.5813953488372093,0.21959906415312921,0.49612403100775193,0.5465116279069767
assistments_rct88,RCT88/89,vae,VAE,86,0.05540635684940588,0.07578585161385788,-0.011812903904565882,0.07070046687331681,0.021230531734983356,0.5348837209302325,0.4924484893860392,0.7596899224806203,0.5465116279069767
