model,label,ate_abs_err,ate_rmse,policy_value_abs_err,policy_regret,sign_accuracy,pearson,spearman,primary_macro_rank
scm_causal,SCM-Causal,0.03368220946592363,0.043101686768870905,0.0277412994740377,0.008537975824972533,0.7214000469814423,0.5716532125531252,0.5587516213032832,1.5555555555555554
crn,CRN,0.04138837738645703,0.05393470814835053,0.0303966412103049,0.014528731486712068,0.6260277190509749,0.3558947522608575,0.32654620124114103,3.111111111111111
rcgan,RCGAN,0.040449631730002766,0.051632606324112096,0.07697530193270076,0.0090160622852013,0.7056612638007986,0.5312016980138986,0.4519851509812065,3.222222222222222
vae,VAE,0.04230296917904757,0.05563275668000397,0.06150572939313337,0.013213847275564733,0.6492835330044632,0.27878356506228014,0.20283897931838735,3.2777777777777772
diffusion,Diffusion,0.04505603373217163,0.06058427306845817,0.19462671571944576,0.011837819818694568,0.6545689452666197,0.148896627188028,0.18966836734731127,4.5
timegan,TimeGAN,0.04716565850723483,0.06125616030955963,0.07326159637879,0.024242813314407936,0.4673478975804557,0.033314840120461334,0.061821102375752064,5.333333333333333
