model,dataset,horizon,dr_value_mean,dm_value_mean,correction_mean,policy_supported,policy_skip_reason
scm_causal,oulad,29,0.6678425379795954,0.6667179465293884,0.0011245914502069354,1.0,
rcgan,oulad,29,0.5664547020569444,0.5195998921990395,0.04685480985790491,1.0,
vae,oulad,29,0.5848075427747972,0.5854618847370148,-0.0006543419622175861,1.0,
diffusion,oulad,29,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,oulad,29,0.6155056841380429,0.6178237944841385,-0.0023181103460956365,1.0,
timegan,oulad,29,0.610325368004851,0.6093534976243973,0.0009718703804537654,1.0,
