model,dataset,horizon,dr_value_mean,dm_value_mean,correction_mean,policy_supported,policy_skip_reason
scm_causal,statics,29,0.9126410462583104,0.8603336612383524,0.05230738501995802,1.0,
rcgan,statics,29,0.6061879163996006,0.717812736829122,-0.11162482042952131,1.0,
vae,statics,29,0.7691346339415759,0.7349514961242676,0.03418313781730831,1.0,
diffusion,statics,29,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,statics,29,0.7305332142083595,0.7010401487350464,0.029493065473313134,1.0,
timegan,statics,29,0.811174160335213,0.8591509660085043,-0.04797680567329129,1.0,
