model,dataset,t0,subgroup,horizon,pehe,ite_rmse,ate_true,ate_hat,ate_abs_error,ate_rmse,n_effective,tau_true_mean,tau_hat_mean,n_gen,supported,skip_reason
scm_causal,assist09,0,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,0,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,0,high,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,5,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,5,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,5,high,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,10,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,10,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,assist09,10,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,0,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,0,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,0,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,5,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,5,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,5,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,10,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,10,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,assist09,10,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,0,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,0,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,0,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,5,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,5,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,5,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,10,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,10,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,assist09,10,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,0,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,0,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,0,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,5,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,5,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,5,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,10,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,10,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,assist09,10,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,0,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,0,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,0,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,5,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,5,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,5,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,10,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,10,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,assist09,10,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,0,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,0,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,0,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,5,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,5,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,5,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,10,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,10,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,assist09,10,high,29,,,,,,,0,,,0,False,oracle_not_available
