model,dataset,horizon,dr_value_mean,dm_value_mean,correction_mean,policy_supported,policy_skip_reason
scm_causal,irt_synth,29,0.6980363051989116,0.6999746710062027,-0.0019383658072911203,1.0,
rcgan,irt_synth,29,0.7467705147573724,0.7562405318021774,-0.00947001704480499,1.0,
vae,irt_synth,29,0.7308154755592113,0.7301298230886459,0.000685652470565401,1.0,
diffusion,irt_synth,29,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,irt_synth,29,0.7151158929916619,0.7108195573091507,0.004296335682511199,1.0,
timegan,irt_synth,29,0.5658347335411236,0.5919786989688873,-0.02614396542776376,1.0,
