model,dataset,attack_features,attack_auc,attack_acc,attack_balanced_acc,n_in,n_out
scm_causal,assist09,"recon_error,avg_confidence",0.51999231064975,0.5588235294117647,0.5043572984749456,3082,770
rcgan,assist09,"recon_error,avg_confidence",0.5074284615807108,0.5605536332179931,0.5101151571739807,3082,770
vae,assist09,"recon_error,avg_confidence",0.4998169202321452,0.4852941176470588,0.5109710550887021,3082,770
diffusion,assist09,"recon_error,avg_confidence",0.49218249391259766,0.5181660899653979,0.4974323062558357,3082,770
crn,assist09,"recon_error,avg_confidence",0.5,0.4930795847750865,0.5018674136321195,3082,770
timegan,assist09,"recon_error,avg_confidence",0.5060416323392102,0.4818339100346021,0.5025676937441643,3082,770
