model,dataset,horizon,dr_value_mean,dm_value_mean,correction_mean,policy_supported,policy_skip_reason
scm_causal,assist09,29,0.6253855846007355,0.5945744728669524,0.030811111733783036,1.0,
rcgan,assist09,29,0.5379572676029056,0.5351103637367487,0.0028469038661569357,1.0,
vae,assist09,29,0.497067221069301,0.49542530690087005,0.001641914168430958,1.0,
diffusion,assist09,29,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,assist09,29,0.5018806773296092,0.4980127402814105,0.0038679370481986552,1.0,
timegan,assist09,29,0.48979726410470903,0.47796398075297475,0.01183328335173428,1.0,
