model,ref_estimator,dataset,policy,horizon,ref_value,ref_ci_low,ref_ci_high,gen_value,supported,skip_reason
scm,gformula,oulad,never,5,0.5538649278879165,0.5537350997328758,0.553992611169815,0.983082115650177,1.0,
scm,gformula,oulad,always,5,0.552513230741024,0.552359077334404,0.5526596307754517,0.9835197925567627,1.0,
scm,gformula,oulad,early_on,5,0.5525360050797462,0.5524070143699646,0.552674475312233,0.9835185408592224,1.0,
scm,gformula,oulad,late_on,5,0.5538504692912102,0.553708603978157,0.5539754733443261,0.9830793738365173,1.0,
rcgan,gformula,oulad,never,5,0.5538614428043366,0.5537236332893372,0.5539894506335259,0.9762764573097229,1.0,
rcgan,gformula,oulad,always,5,0.5525088226795196,0.5523661389946938,0.5526429370045662,0.9768465161323547,1.0,
rcgan,gformula,oulad,early_on,5,0.5525298058986664,0.5523853719234466,0.5526615113019944,0.9768619537353516,1.0,
rcgan,gformula,oulad,late_on,5,0.5538517719507218,0.5537243321537971,0.5539762049913406,0.9762750267982483,1.0,
vae,gformula,oulad,never,5,0.5538536033034325,0.5537038788199424,0.5539852067828178,0.9429458379745483,1.0,
vae,gformula,oulad,always,5,0.5524895370006562,0.5523384034633636,0.5526296526193619,0.9757852554321289,1.0,
vae,gformula,oulad,early_on,5,0.5525182202458382,0.5523858860135078,0.5526586800813675,0.9760835766792297,1.0,
vae,gformula,oulad,late_on,5,0.5538416165113449,0.5537185356020927,0.5539865016937255,0.9423806071281433,1.0,
diffusion,gformula,oulad,never,5,0.5538829272985458,0.5537480607628822,0.5540049105882645,,0.0,Diffusion does not support closed-loop policy rollouts.
diffusion,gformula,oulad,always,5,0.5524954158067703,0.5523516729474067,0.5526301458477973,,0.0,Diffusion does not support closed-loop policy rollouts.
diffusion,gformula,oulad,early_on,5,0.5525131872296334,0.5523766860365867,0.5526540532708168,,0.0,Diffusion does not support closed-loop policy rollouts.
diffusion,gformula,oulad,late_on,5,0.5538847151398659,0.5537364080548286,0.5540153726935386,,0.0,Diffusion does not support closed-loop policy rollouts.
crn,gformula,oulad,never,5,0.5538378396630287,0.5537216901779175,0.5539628058671952,0.9306650757789612,1.0,
crn,gformula,oulad,always,5,0.5525215137004852,0.5523764282464981,0.5526545494794846,0.9680874347686768,1.0,
crn,gformula,oulad,early_on,5,0.5525698080658913,0.5524244591593742,0.5526879325509071,0.9680874347686768,1.0,
crn,gformula,oulad,late_on,5,0.5538839995861053,0.5537466183304787,0.5540389731526375,0.9306650757789612,1.0,
timegan,gformula,oulad,never,5,0.5538474893569947,0.5537108182907104,0.5539851993322372,0.9488887786865234,1.0,
timegan,gformula,oulad,always,5,0.5525251373648643,0.5523808836936951,0.5526583850383758,0.9731268882751465,1.0,
timegan,gformula,oulad,early_on,5,0.552534575164318,0.5523893803358078,0.5526791855692863,0.973127007484436,1.0,
timegan,gformula,oulad,late_on,5,0.5538433811068535,0.5537228986620903,0.5539692908525466,0.948888897895813,1.0,
