model,dataset,predictor,setting,auc,rmse,brier,ece,n_train,n_test
scm,oulad,logreg,TRTS,0.6901771869156152,0.1941251549670048,0.037684575790963626,0.0008300485379863891,16934,4233
scm,oulad,logreg,TSTR,0.5301280651963158,0.19859440867078776,0.03943973915529986,0.026918825361830555,2048,4233
scm,oulad,mlp,TRTS,0.5564208930370952,0.46479649930573375,0.21603578576686497,0.4210946205256575,16934,4233
scm,oulad,mlp,TSTR,0.5741168691087999,0.4678178955836565,0.21885358342832092,0.4231765575738358,2048,4233
scm,oulad,sakt,TRTS,0.5465371583686442,0.19774356333876622,0.03910251684191265,0.021649983401473616,16934,4233
scm,oulad,sakt,TSTR,0.4999314550131563,0.19845338224897224,0.039383744926056695,0.02699398693372368,2048,4233
rcgan,oulad,logreg,TRTS,0.6901788395905717,0.19412515043340098,0.03768457403079056,0.0008299868968794969,16934,4233
rcgan,oulad,logreg,TSTR,0.4643363410611008,0.19856737866297058,0.039429003869083545,0.023266815877262204,2048,4233
rcgan,oulad,mlp,TRTS,0.4845564557984699,0.4866829867797687,0.23686032962087647,0.44327139826530726,16934,4233
rcgan,oulad,mlp,TSTR,0.6239371893498531,0.4398088122865416,0.1934317913648984,0.3917898228079134,2048,4233
rcgan,oulad,sakt,TRTS,0.538831731340409,0.19721699709152388,0.038894543941798136,0.015986708140315775,16934,4233
rcgan,oulad,sakt,TSTR,0.5123158275438138,0.19827197646790112,0.03931177665248793,0.02570480978108547,2048,4233
vae,oulad,logreg,TRTS,0.690179906210579,0.19412513283669333,0.03768456719886383,0.0008298929379260378,16934,4233
vae,oulad,logreg,TSTR,0.684502745034497,0.1946630501717502,0.037893703102169336,0.00471203701457374,2048,4233
vae,oulad,mlp,TRTS,0.5275973861574197,0.45253060818562396,0.20478395134485072,0.40556751901327587,16934,4233
vae,oulad,mlp,TSTR,0.4916693109465968,0.4465745183637759,0.19942880045183842,0.3998636621880933,2048,4233
vae,oulad,sakt,TRTS,0.5530954179973631,0.19707399071190682,0.03883815781511673,0.014534427782701198,16934,4233
vae,oulad,sakt,TSTR,0.560599734409274,0.1975414246502716,0.039022614452858935,0.0198998366401254,2048,4233
diffusion,oulad,logreg,TRTS,0.6901765188129734,0.1941251558518242,0.03768457613449503,0.0008301084350922861,16934,4233
diffusion,oulad,logreg,TSTR,0.6765221066021763,0.3466125701294974,0.12014027377177577,0.28211269903118397,2048,4233
diffusion,oulad,mlp,TRTS,0.41308396038868667,0.48027252641452844,0.23066169962859392,0.4329900672902622,16934,4233
diffusion,oulad,mlp,TSTR,0.5728397733270734,0.4642007144848387,0.2154823033282347,0.4203407704892968,2048,4233
diffusion,oulad,sakt,TRTS,0.5509024120990247,0.1972796813322424,0.03891927266655112,0.016965156886894817,16934,4233
diffusion,oulad,sakt,TSTR,0.5711618042390807,0.5111557663352717,0.26128021745779895,0.4713196519284562,2048,4233
crn,oulad,logreg,TRTS,0.6901774565008918,0.19412514495725403,0.03768457190467489,0.0008298333619891349,16934,4233
crn,oulad,logreg,TSTR,0.6772869786373125,0.19478475768759285,0.03794110182741426,0.001089368355984727,2048,4233
crn,oulad,mlp,TRTS,0.4818493390566053,0.47826052688671417,0.22873313157795744,0.4348712354082075,16934,4233
crn,oulad,mlp,TSTR,0.5582206795068024,0.39578806373166636,0.15664819139246158,0.34248859234993023,2048,4233
crn,oulad,sakt,TRTS,0.508556777331657,0.19678095823654018,0.038722745524490974,0.008226221525331812,16934,4233
crn,oulad,sakt,TSTR,0.5331525892985991,0.1969887932612062,0.03880458467050624,0.012816165076329877,2048,4233
timegan,oulad,logreg,TRTS,0.6901782769778206,0.1941251477570722,0.03768457299170511,0.0008302087510371856,16934,4233
timegan,oulad,logreg,TSTR,0.6382854437359587,0.19579673060740505,0.038336359716548744,0.0058367218026046976,2048,4233
timegan,oulad,mlp,TRTS,0.5574769757764266,0.4283134111462914,0.18345237816777205,0.3781093000988871,16934,4233
timegan,oulad,mlp,TSTR,0.5156917501935623,0.4211063333923743,0.17733054402316947,0.3696235979315676,2048,4233
timegan,oulad,sakt,TRTS,0.546404944372133,0.19748221376098263,0.03899922475193844,0.01904689762550693,16934,4233
timegan,oulad,sakt,TSTR,0.5272858276253926,0.19759105354308962,0.03904222444026811,0.01994035805046812,2048,4233
