model,dataset,attack_features,attack_auc,attack_acc,attack_balanced_acc,n_in,n_out
scm_causal,oulad,"recon_error,avg_confidence",0.5069763426708831,0.5338127506568939,0.5061646889566724,19281,4820
rcgan,oulad,"recon_error,avg_confidence",0.5151675917052558,0.5558014105932789,0.5006515140412859,19281,4820
vae,oulad,"recon_error,avg_confidence",0.5095048134094436,0.5468123357765178,0.5070017255573579,19281,4820
diffusion,oulad,"recon_error,avg_confidence",0.49444821196721683,0.5105794495920343,0.4937328216526558,19281,4820
crn,oulad,"recon_error,avg_confidence",0.5142544064451459,0.5477803899875536,0.5083867690985867,19281,4820
timegan,oulad,"recon_error,avg_confidence",0.5155063095629786,0.5480569769049924,0.5090797697915874,19281,4820
